상권_코드_명,엑스좌표_값,와이좌표_값,영역_면적,서비스_업종_코드_명,유사_업종_점포_수,당월_매출_금액,월_평균_소득_금액,상권_변화_지표,운영_영업_개월_평균,총_상주인구_수,총_유동인구_수
세종대왕기념관교차로,203649,454572,24771,커피-음료,1.2110936175366356,1669520.0,2650093.0,HL,145,206.28961285374027,106493.88397723144
떡전교사거리,204277,453931,46180,커피-음료,0.8661758336942399,8934112.25,2494473.0,HL,120,399.3070593330446,211844.30489389345
고려대역 6번,203181,454240,79173,커피-음료,1.3893625352077097,16294019.36,2287115.0,LL,109,134.89447160016672,240695.81801876903
간데메공원,204495,452665,122554,커피-음료,0.8975635230184246,44582479.64,2670116.0,HL,112,269.5954436411704,101837.8837084061
경희대삼거리,204533,454605,88816,커피-음료,1.3511079084849578,8109961.0,2724291.0,LL,98,294.87930102684203,243507.25094577557
장안근린공원,206152,452923,177937,커피-음료,0.3371979970438976,3784328.83,2139784.0,HL,119,291.11427078123154,94312.53758352675
장평중학교,206184,451672,205648,커피-음료,0.48626779740138487,3682648.8,2741705.0,LL,109,360.76207889208746,86162.90943748542
동대부고,206490,453086,104535,커피-음료,1.1479408810446263,12657907.5,2615495.0,HL,118,270.62706270627064,75717.22389630268
촬영소사거리,205617,452236,54806,커피-음료,0.5473853227748786,35264636.0,2167292.0,HL,116,244.3163157318542,41033.28102762471
서울시립대,204784,454008,110970,커피-음료,1.0813733441470668,44173224.5,2527464.0,LL,105,289.7179417860683,242998.73839776518
전곡마을마당공원,204828,453365,126403,커피-음료,0.632896371130432,292803.12,2555583.0,HL,110,287.9678488643466,184684.9362752466
답십리초등학교,204987,452276,80982,커피-음료,1.481810772764318,31447538.25,2236709.0,LH,89,285.8659949124497,107589.46432540566
청량초등학교,205004,454831,35455,커피-음료,0.8461429981666903,5585087.0,2393882.0,LL,108,214.9203215343393,167409.6742349457
경희대후문,204987,455329,79862,커피-음료,1.6278079687460871,63100770.23,2726860.0,HH,113,293.3810823670832,216855.20022038015
전농중학교,205156,453263,65069,커피-음료,0.9220980804991624,1247141.5,2293645.0,HH,118,184.41961609983247,62413.284359679725
답십리사거리,205138,452341,82160,커피-음료,0.36514118792599803,4000000.0,2222772.0,LH,102,340.6767283349562,147035.0535540409
삼육보건대학교,205315,454241,179445,커피-음료,1.281729777926384,2187522.83,2369686.0,LH,89,368.5251748446599,87704.70060464209
외대앞역 1번,205403,455074,98625,커피-음료,2.129277566539924,71679109.76,2274022.0,HH,110,196.60329531051963,140528.6692015209
의릉,205397,456047,47130,커피-음료,0.8487163165711862,6498815.0,2325126.0,HL,118,207.29896032251222,59841.926586038615
장안1동주민센터,205884,452160,285861,커피-음료,0.699640734482843,6921659.95,2381620.0,LL,105,345.9723432017659,95955.971608579
답십리공원,205920,452959,55458,커피-음료,1.0818998160770312,16263043.17,2336609.0,HH,123,135.05716037361609,93860.39886039885
오거리공원,207331,453019,165615,커피-음료,0.4830480330887903,18535313.62,2442112.0,LL,104,471.5152612987954,189880.32484980224
상봉역 4번,207311,454906,191245,커피-음료,0.6274673847682292,6180536.75,2284611.0,LL,108,339.66901095453477,118103.16609584565
신묵초등학교,206616,456591,180650,커피-음료,0.33213396069748136,1815499.83,2302638.0,LL,99,427.06891779684474,102097.75809576528
메가박스 상봉,206601,454652,124410,커피-음료,0.803793907242183,17181189.7,2246608.0,LL,104,346.9978297564504,76103.12675829917
중랑노인종합복지관,206888,454287,128302,커피-음료,0.7014699692912035,1450252.0,2262344.0,LL,109,381.0540755405216,50703.02879144519
중화역 4번,206912,455985,63066,커피-음료,1.268512352139029,6705476.62,2396955.0,HL,113,170.13921923064726,174974.3126248692
월드순복음교회,206971,454832,87353,커피-음료,0.801346261719689,24896192.71,2485820.0,LL,98,284.8213570226552,154688.5624992845
먹골역 1번,207001,456738,148439,커피-음료,0.5389419222711013,11212291.75,2434899.0,LH,100,420.03786067003955,150683.91729936202
중화역 1번,207071,456080,170317,커피-음료,0.3522842699202076,2905947.83,2305998.0,HH,111,388.6282637669757,99454.7226642085
태릉시장 특화거리,206782,455390,45536,커피-음료,0.8784258608573436,2750113.5,2203641.0,LH,104,283.072733661279,144114.766338721
먹골역 5번,206829,456519,99076,커피-음료,0.908393556461706,7133180.0,2174657.0,LL,99,265.3518511042028,113021.6197666438
장안중학교,207245,455571,90556,커피-음료,0.33128671761120193,2754293.67,2264168.0,LL,104,430.78316180043294,75488.3166217589
러스크서울병원,209068,455483,118173,커피-음료,0.5077301921758778,15008990.83,2194639.0,LL,107,304.0457634146548,76056.29035397257
망우본동주민센터,209142,455775,137523,커피-음료,1.2361568610341542,7922994.18,2079492.0,HL,117,285.62495000836225,57931.32785061408
신내1동주민센터,208691,456291,146352,커피-음료,1.4348966874385045,25220002.52,2478067.0,LL,104,242.4292117634197,92289.48015742867
장스여성병원,208719,455672,69230,커피-음료,0.4333381482016467,5760159.67,2083484.0,HL,120,342.1926910299003,97774.23082478695
면동초등학교,207582,454086,111432,커피-음료,0.5384449709239716,4766673.67,2284233.0,LL,90,515.6508004881902,70513.85598391845
사가정역 1번,207605,453638,86298,커피-음료,0.5793877030753899,3115633.2,2200617.0,LL,88,472.78036570951815,161584.04598020812
면목역 3번,207615,454450,65941,커피-음료,0.4549521541984501,27000000.0,2329447.0,HL,121,336.3612926707208,203338.43890750824
사가정역 4번,207796,453176,109503,커피-음료,0.5479301936933234,19474786.17,2301363.0,LL,104,460.53532779923836,135832.99087696229
상봉역 3번,207850,454983,121975,커피-음료,0.7378561180569788,2083593.0,2463390.0,LL,82,238.98339823734372,143189.91596638656
면목역 1번,207934,454695,152104,커피-음료,0.1972334718350602,9731117.0,2308576.0,LL,104,477.63372429390415,90483.8137064114
면목역 2번,208090,454193,216948,커피-음료,0.5070339436178255,181826.45,2323249.0,LL,100,446.37424636318383,138423.9541272563
면목동우체국,208094,453739,114047,커피-음료,0.3507325927030084,15740150.5,2281476.0,LL,97,461.73945829351055,137630.6259699948
망우역 2번,207896,455693,125682,커피-음료,0.8752247736350471,7616979.82,2413882.0,LL,88,355.3412580958291,99717.54109578142
서일대학교,208722,454449,164098,커피-음료,0.9750271179417177,9588649.06,2273345.0,HL,110,418.40851198673965,88526.49026801059
하나은행 망우동지점,208807,455418,35477,커피-음료,1.1274910505397864,3165678.25,2125813.0,HL,127,252.55799532091214,149136.62372804916
상월곡역 1번,203943,456250,83644,커피-음료,1.0759887140739324,24384995.44,2305196.0,LL,103,240.54325474630576,165092.65458371193
북정마을,199134,454845,151078,커피-음료,0.26476389679503304,13205712.25,3039241.0,HH,116,47.19416460371464,18751.307271740425
성북초등학교앞,199941,454796,42242,커피-음료,1.1836560768902986,4594590.4,3079970.0,HH,115,122.62676956583495,33345.24880450736
홍대부중,200122,454958,90071,커피-음료,0.8881882070810805,11991677.88,2801380.0,LL,94,237.25727481653362,16427.707031119895
한성대입구역 5번,200267,454472,112177,커피-음료,1.515462171389857,12464062.18,2990915.0,LH,87,231.5982777218146,77957.69186196814
정릉3동주민센터,200322,456640,60168,커피-음료,0.49860390905464697,8512463.33,2551003.0,LH,89,313.78806009839116,38588.452333466295
동구여중,200468,454617,82760,커피-음료,0.7249879168680522,11986040.83,3002659.0,LL,107,199.13001449975835,26491.30014499758
정릉역 1번,201588,455814,140910,커피-음료,0.7096728408203818,9575960.2,2274929.0,HH,119,251.7209566389894,132585.5510609609
삼선동주민센터,201728,454413,155662,커피-음료,1.927252637124025,29016960.7,2475089.0,LL,98,187.07198931017206,190312.8573447598
보문역 8번,201699,453779,67532,커피-음료,0.44423384469584787,15199727.0,2299982.0,HH,109,335.1003968489013,45356.42362139431
성신여대입구역 1번,201864,454954,109299,커피-음료,1.5553664717883968,2463589.0,2484720.0,LL,98,310.0668807582869,123687.95688890108
보문역 4번,201853,454151,93288,커피-음료,0.9647543092359147,9922378.11,2783152.0,LH,103,42.34199468313181,110025.08361204014
보문역 5번,201956,453872,147424,커피-음료,0.8818102886911222,493974.08,2655140.0,HL,117,52.84078576079879,148067.6823312351
길음역 8번,202156,456410,84969,커피-음료,0.9415198484153045,9784565.25,2332887.0,LL,99,127.81131942237758,114227.77718932787
대광초등학교,202174,453492,72678,커피-음료,1.238338974655329,9210355.0,2597964.0,LH,107,189.46586312226535,52676.18811744957
한성대입구역 3번,200879,454012,175682,커피-음료,0.5692102776607735,816162.7,2438553.0,LL,106,251.93246889265833,122856.12641021847
삼선중학교,200919,454642,79830,커피-음료,1.503194287861706,6770045.17,2815753.0,HL,111,316.5476637855443,189871.4768883878
서경대학교,201084,456815,193247,커피-음료,0.5692197032812929,9737499.36,2398150.0,LH,102,370.9760048021444,84053.41350706609
정릉우체국,201097,456370,153101,커피-음료,0.4572145185204538,22215194.43,2476680.0,LH,99,306.00714560976087,64453.20409402943
성신여대입구역 4번,201319,454904,59460,커피-음료,1.0090817356205852,226500000.0,2619792.0,LL,107,319.8789101917255,161343.087790111
경동고등학교,201254,454294,167263,커피-음료,0.8370051954108201,686724.93,2576371.0,LL,102,390.642281915307,138089.71499973096
안암역 2번,202569,454348,85118,커피-음료,1.644775488145868,79277782.5,3029259.0,LL,96,109.73002185201719,71311.82593575977
안암역 3번,202623,453826,82289,커피-음료,2.5519814312970146,47401455.81,2933763.0,LH,101,69.02502157031924,227906.40304293405
종암경찰서,202860,455730,84094,커피-음료,1.1891454800580303,43117200.0,2228729.0,LL,106,125.09810450210477,87067.68616072492
종암아이파크2차,202967,455307,92801,커피-음료,0.6465447570608075,17282594.5,2481802.0,HL,122,335.1256990765186,167103.9105182056
숭곡초등학교,203036,456508,180619,커피-음료,0.9965728965391238,25554277.06,2338258.0,HL,119,262.4862279162215,161252.41530514508
종암중학교,203017,454857,91409,커피-음료,0.76578892669212,56108913.43,2653840.0,HH,116,239.80133247273244,73100.78876259449
종암동주민센터,203175,455519,98376,커피-음료,0.813206473123526,4184071.75,2546253.0,HH,126,304.0375701390583,135616.91876067335
삼각산119안전센터,201493,457814,17571,커피-음료,1.7073587160662456,33636251.33,2149340.0,LL,104,125.7754254168801,40520.744408400205
강북문화예술회관,201295,460283,122433,커피-음료,0.40838662778825974,12725914.2,2285224.0,LL,94,343.04476734213813,163572.7295745428
장곡초등학교,204065,457480,104685,커피-음료,0.38209867698333094,5138858.0,2313834.0,LL,91,303.00425084778146,100994.02970817212
상월곡역 2번,204404,456574,117350,커피-음료,0.5965061780997017,1414464.14,2271485.0,HH,116,307.7971878994461,84553.55773327651
상월곡역 3번,204494,456315,88297,커피-음료,0.45301652377770474,25616483.75,2418189.0,LH,104,220.8455553416311,120502.05556247664
돌곶이역 1번,204785,456784,72476,커피-음료,0.6898835476571554,72845.0,2343085.0,LL,108,282.1623709917766,129250.09658369668
돌곶이역 8번,205071,456537,105931,커피-음료,1.0384117963580066,16013923.09,2180717.0,LL,108,305.293068129254,110810.15000330404
돌곶이역 5번,205235,456656,67373,커피-음료,1.1874192925949565,7234636.38,2417894.0,HH,130,182.41728882490017,99343.35713119498
석계역 7번,205645,457031,140761,커피-음료,0.7104240521167084,41664909.3,2308757.0,HL,112,307.61361456653475,95760.75759620918
아카데미하우스,200625,460586,120638,커피-음료,1.160496692584426,31881275.07,2464337.0,HL,111,220.41147897014207,34406.98619008936
북한산우이역 2번,200835,462472,140183,커피-음료,0.42801195580063206,5086957.0,2488996.0,LH,91,161.43184266280505,15343.800603496858
솔밭공원역 2번,201113,461962,103855,커피-음료,1.1554571277261567,1739981.42,2321933.0,LH,100,272.88045833132736,65832.65129266767
4.19민주묘지역 2번,201112,461090,60794,커피-음료,0.6579596670724085,99943356.25,2183976.0,LL,83,205.11892620982334,174968.5824258973
